"","actor.followersCount","actor.friendsCount","actor.languages","actor.link","actor.preferredUsername","actor.statusesCount","body","generator.displayName","lat","lon","gnip.klout_score","inReplyTo.link","link","object.actor.displayName","object.actor.followersCount","object.actor.preferredUsername","object.actor.statusesCount","object.twitter_entities.hashtags.text","postedTime","day","hour","min","sec","comboTime","retweetCount","twitter_entities.hashtags.text","twitter_entities.user_mentions.screen_name","verb"
"121447",387,546,"en","http://www.twitter.com/kidflashy94","kidflashy94","4437","Sandy come alive in the night time","Twitter for iPhone","40.28375764","-74.7782822","43","","http://twitter.com/kidflashy94/statuses/263247396245479424","","","","","","2012-10-30T11:54:04.000Z",30,11,54,4,"10-30 11:54","0","","","post"
"52940",71,182,"en","http://www.twitter.com/S_willis19","S_willis19","537","?@HurricaneiSandy: DIS BITCH STANDIN OUTSIDE YELLIN ""SANDY YOU AIN'T SHIT"" SO I THREW A FUCKING MINIVAN AT HER. NOW WHAT BITCH?!??","Twitter for iPhone","41.23137953","-82.10580551","41","","http://twitter.com/S_willis19/statuses/262928458525581312","","","","","","2012-10-29T14:46:44.000Z",29,14,46,44,"10-29 14:46","","","HurricaneiSandy","post"
"177073",2203,2419,"es","http://www.twitter.com/SesmaCreatvt","SesmaCreatvt","20353","Muere mexicano que limpiaba escombros de Sandy en EU - Noticieros Televisa http://t.co/v8jeeH19","dlvr.it","47.48931389","-122.2135742","46","","http://twitter.com/SesmaCreatvt/statuses/264506936366596096","","","","","","2012-11-02T23:19:02.000Z",2,23,19,2,"11-02 23:19","","","","post"
"101856",256,332,"en","http://www.twitter.com/a_dayyyy","a_dayyyy","14257","@Fancy_Dollface ok cool. Keep Ramsay in your prayers he's in the middle of Hurricane Sandy :/","Twitter for iPhone","42.43922096","-83.32499899","44","http://twitter.com/Fancy_Dollface/statuses/263091708789653505","http://twitter.com/a_dayyyy/statuses/263091954789777408","","","","","","2012-10-30T01:36:24.000Z",30,1,36,24,"10-30 01:36","","","Fancy_Dollface","post"
"193663",50,60,"en","http://www.twitter.com/JoeeSmith19","JoeeSmith19","80","All for the safety and happiness of everybody after sandy but don't forget about all the animals that were effected as well  #animalrights","Twitter for iPhone","39.9523968","-74.18108316","32","","http://twitter.com/JoeeSmith19/statuses/264864682463072257","","","","","","2012-11-03T23:00:35.000Z",3,23,0,35,"11-03 23:00","","animalrights","","post"
"80096",1049,758,"en","http://www.twitter.com/PinKUSH_Inc","PinKUSH_Inc","25202","The wind is blowing hard as hell ! #HurricaneSandy","Twitter for Android","33.5304285","-84.2394377","40","","http://twitter.com/PinKUSH_Inc/statuses/263030075216257024","","","","","","2012-10-29T21:30:31.000Z",29,21,30,31,"10-29 21:30","0","HurricaneSandy","","post"
"124471",29,37,"en","http://www.twitter.com/iScreamZJM","iScreamZJM","811","That's my hot tub canopy on my neighbors roof...
#FuckYouSandy http://t.co/dIvbFBaV","Twitter for iPhone","41.6935572","-86.90874047","31","","http://twitter.com/iScreamZJM/statuses/263272729040539650","","","","","","2012-10-30T13:34:46.000Z",30,13,34,46,"10-30 13:34","","FuckYouSandy","","post"
"104549",199,269,"en","http://www.twitter.com/DEVANthHEAVEN","","2236","@Faison_Faceoff #damnsandy","Twitter for iPhone","39.95090146","-75.59839106","38","http://twitter.com/Faison_Faceoff/statuses/263103046022754304","http://twitter.com/DEVANthHEAVEN/statuses/263103177795182593","","","","","","2012-10-30T02:21:00.000Z",30,2,21,0,"10-30 02:21","","damnsandy","Faison_Faceoff","post"
"199671",265,175,"en","http://www.twitter.com/dmbrown04","dmbrown04","6177","Who wants to go to bdubs with @_SANDY____ &amp; I? #CollegeNight","Twitter for iPhone","46.81802285","-96.91603705","45","","http://twitter.com/dmbrown04/statuses/265272248099819520","","","","","","2012-11-05T02:00:07.000Z",5,2,0,7,"11-05 02:00","0","CollegeNight","_SANDY____","post"
"192280",316,820,"en","http://www.twitter.com/DJRaby","DJRaby","650","So Hurricane Sandy has gone but a snowstorm is on the way for Wednesday apparently.  Oh joy!","Twitter for Android","40.7629729","-73.9767725","27","","http://twitter.com/DJRaby/statuses/264802809558487040","","","","","","2012-11-03T18:54:44.000Z",3,18,54,44,"11-03 18:54","","","","post"
"67925",158,139,"fr","http://www.twitter.com/MalinaSlmt","MalinaSlmt","3158","Pk les tempete et ouragan  i on des prenom comme Xintia ,Sandy etc.*Comprend pas*","Twitter for Android","48.9630949","2.1937106","43","","http://twitter.com/MalinaSlmt/statuses/262990695348965376","","","","","","2012-10-29T18:54:02.000Z",29,18,54,2,"10-29 18:54","","","","post"
"42683",170,664,"en","http://www.twitter.com/shannonks7","shannonks7","601","@Bossmasterflex the Ca'Donini should be served #chilled. Hope you have a generator, or lots of ice. #stockedforsandy","Twitter for iPhone","42.6807434","-73.86819653","42","http://twitter.com/Bossmasterflex/statuses/262772640505274369","http://twitter.com/shannonks7/statuses/262777348154335234","","","","","","2012-10-29T04:46:16.000Z",29,4,46,16,"10-29 04:46","","chilled,stockedforsandy","Bossmasterflex","post"
"155289",12,89,"en","http://www.twitter.com/shellydoggs","shellydoggs","86","Thunder n lightning i think im done work for the day! #playinitsafe #Sandy","Twitter for iPhone","44.66637743","-63.53965255","20","","http://twitter.com/shellydoggs/statuses/263665961847099392","","","","","","2012-10-31T15:37:18.000Z",31,15,37,18,"10-31 15:37","","playinitsafe,Sandy","","post"
"14041",42,90,"en","http://www.twitter.com/Mkelso07","Mkelso07","173","I'm at Wendy's (Sandy Springs, GA) http://t.co/XOQL6Zam","foursquare","33.93060983","-84.34805065","21","","http://twitter.com/Mkelso07/statuses/262372853402447873","","","","","","2012-10-28T01:58:57.000Z",28,1,58,57,"10-28 01:58","0","","","post"
"151521",224,529,"en","http://www.twitter.com/capitaljordan","capitaljordan","2256","Horrific pictures of the NY hurricane aftermath, #hurricanesandy has certainly caused some damage.","Twitter for iPhone","51.5217126","-3.13754563","42","","http://twitter.com/capitaljordan/statuses/263573061222150144","","","","","","2012-10-31T09:28:09.000Z",31,9,28,9,"10-31 09:28","","hurricanesandy","","post"
"152504",3,16,"en","http://www.twitter.com/oridtlnyce","oridtlnyce","1597","#Sandy bgz","dlvr.it","30.22340466","-91.47382813","10","","http://twitter.com/oridtlnyce/statuses/263600778051198978","","","","","","2012-10-31T11:18:17.000Z",31,11,18,17,"10-31 11:18","","Sandy","","post"
